序号,城市,本科院校,ing,2025届,,24届保研去向,2024届,,2023届,,2022届,,2021届,,2020届,,,,,,
,,,,保研人数,保研率,,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,保研人数,保研率,,,,,
72,山西,山西大学,,,,"在山西大学的保研同学中，保研本校和保研外校的比例大概为1：2.5，大部分同学选择前往更高层次院校深造。
保研外校名单不乏中国科学院大学、厦门大学、中山大学、山东大学、中国社会科学院大学和上海外国语大学等一众一流院校",762,12.38%,700,12.03%,666,11.29%,,10.3%,,9.6%,,,,,
73,江苏,南京林业大学,南京林业大学,635,9.71%,在南京林业大学2023届的保研去向中，保研本校约78人，保研外校约390人，大部分同学选择了更高层次的院校读研，且外校名单中不乏中国科学院大学、华南理工大学、中南大学等理工类优势学科院校,550,9.15%,468,7.79%,425,7.1%,,7.1%,,8%,,,,,
74,江苏,南京信息工程大学,南京信息工程大学,645,8.21%, ,537,8.17%,441,6.75%,360,6.05%,,5%,,5%,,,,,
75,北京,国际关系学院,国际关系学院,94,21.51%,在国际关系学院保研同学中，保研外校的名校占比非常高。其中不乏有北京大学、中国人民大学、武汉大学、外交学院和中国科学院等国内顶尖文科学府,79,17.06%,78,15.69%,72,15.4%,,,,,,,,,
76,河北,燕山大学,燕山大学,612,10.81%,据统计，2024届燕山大学587名推免生中，保研本校32人，保研外校555人。保研外校的去向主要有：南开大学、中国科学院大学、安徽大学、上海外国语大学、外交学院等,587,9.67%,561,9%,531,8.52%,,7.9%,,7.6%,,,,,
77,河北,河北大学,河北大学,665,9.5%,据统计2024届河北大学的推免生中，保研河北大学本校34人，保研外校591人。保研外校主要去向是上海外国语大学、华东师范大学、清华大学、南开大学、中国科学院大学等,625,8.93%,593,8.47%,578,8.26%,,7.7%,,7.1%,,,,,
78,安徽,安徽医科大学,安徽医科大学,330,8.65%,据不完全统计，安徽医科大学2024届本科生中，有1名学生被保送到中国疾病预防控制中心，有2名学生被保送到上海中医药大学。综合类院校的医学专业中，中南大学、南京大学和安徽大学占比较高，其中有6名学生被保送到安徽大学攻读硕士研究生学位,280,8%,239,7.93%,214,6.71%,,6.1%,,5.8%,,,,,
79,陕西,西南政法大学,西南政法大学,291,6.71%,"据统计2024届西南政法大学的推免生中，保研外校主要去向是中国政法大学、北京师范大学、武汉大学、南开大学、中国科学院大学等。
此外，根据西南政法大学（研究生院）2024年推荐免试研究生拟录取名单，2024年拟录取推免生152人，较上年明显增加",282,6.17%,246,5.72%,246,5.72%,,5.4%,,5.4%,,,,,
80,北京,北京工商大学,北京工商大学,221,6.72%,北京工商大学保研同学的院校去向情况良好，大部分同学没有选择留在本校，而且去想了更高层次的高校深造，根据不完全统计数据，在外校名单中，北京工商大学保研同学的去向中985、211占比较高，其中也不乏中山大学、浙江大学、南京大学等一流高校,191,5.82%,180,6.79%,175,5.43%,,5.9%,,4.8%,,,,,
81,广东,深圳大学,深圳大学,441,6.19%,"深圳大学每年保研同学的保研院校和去向基本处于稳定状态，通常一半以上的同学保研至本校，充分体现了深大地区和资源的强劲优势。外校的取向上，华南地区高校占比觉较大，华南理工大学位列第一，其次中国科学院大学和深圳地区的研究所也成为相当数量同学的选择。
值得注意的是，在近年深圳大学的保研去向中，也有一些同学成功进去了清华大学、北京大学和中国人民大学等国内第一梯度高校。由此可以看出深圳大学整体实力的认可度是极高的",376,5.17%,302,4.56%,300,4.68%,,3.3%,,,,,,,
